id,book_url,review_url,title,content,rating,useful_count,useless_count,useful_ratio,replies_count,reviewer_name,reviewer_url,published_at,crawled_at
23,https://book.douban.com/subject/1002299/,https://book.douban.com/review/2880431/,醉乡路稳宜频到，此外不堪行。,"我想我该是得了甲流又好了吧。 那天烧得跟个红包似的巴巴地跑去发热门诊瞧病。 大夫瞄两眼，见是无孕女青年一枚，口齿清晰头脑清楚，拳头上能立人，胳膊上能跑马，算定死不了，遂开点药打发了回来。 如此烧了两天，毕竟贱命一条，便也好了。 病中拥被大卧，睡睡醒醒，睡时静谧...

                         (展开)",5.0,734,24,0.9683,0,逍遥兽,https://www.douban.com/people/duchamp/,2009-12-22 13:03:06,
25,https://book.douban.com/subject/1002299/,https://book.douban.com/review/1020010/,论“《葵花宝典》与《辟邪剑法》”,"《葵花宝典》与《辟邪剑法》  甘肃省酒泉中学  霍  军 一 《葵花宝典》与《辟邪剑法》是天下无敌的最高武学典籍。《笑傲江湖》开篇，青城派即大举出动，对《辟邪剑谱》强行夺取，血洗威远镖局，造成武林惨祸。而华山掌门、号称君子剑的岳不群也派出密探，暗中监视青城派举动，...

                         (展开)",5.0,237,13,0.948,0,雨隹,https://www.douban.com/people/1075731/,2006-01-11 16:04:34,
26,https://book.douban.com/subject/1002299/,https://book.douban.com/review/1391156/,若,"若没有任盈盈。 那个金庸小说里最潇洒的家伙，会在小师妹看上一福建人之后，黯然神伤，之后学会了独孤九剑却又意外的汇集了六道真气，他依然会随师门远遁，在金刀王家受尽折辱，只是那个本该在这个时候出现的任盈盈没有出现。于是他们再一路南下，不必担心没有了那些江湖豪客的...

                         (展开)",5.0,215,31,0.874,0,恰好,https://www.douban.com/people/lbfqiahao/,2008-05-28 00:58:35,
27,https://book.douban.com/subject/1002299/,https://book.douban.com/review/12504971/,恋冲笔记,"我一直宣称令狐冲是我最爱的金庸小说男主角，最近重读了一遍《笑傲江湖》，更加确信这个观点，甚至可以说他是我最爱的小说男主角。今天就让我来系统论述一番对冲哥的爱。 1、 我觉得令狐冲性感迷人，而这种性感正来源于人物的复杂性和层次感。 令狐冲到底是风流浪子还是纯情痴...

                         (展开)",5.0,163,2,0.9879,0,murmur,https://www.douban.com/people/2285992/,2020-04-14 14:40:12,
28,https://book.douban.com/subject/1002299/,https://book.douban.com/review/1928660/,洛阳城中绿竹巷,"“人生于世，忧多乐少，本就如此”，梅庄黄钟公十二年西湖闲居、琴书遣怀，享尽了人间清福，而就在他临死前，那一声看似豁达的叹息内所挟的悲苦，却未能因先前的欢愉减少分毫。自以为终生不再踏足黑木崖，就可以远离那些勾心斗角，而现实告诉他，人没有办法脱开那张隐隐存在的...

                         (展开)",5.0,141,4,0.9724,0,杀猪刀,https://www.douban.com/people/shuodouban/,2009-03-26 21:25:46,
29,https://book.douban.com/subject/1002299/,https://book.douban.com/review/5788220/,盈盈一笑很倾城,"三联版原著党，不喜于妈同人。  在笔者心中，任盈盈是过分完美以至于不真实的人。每每恰如其分地出现，成为令狐冲的人生导师。不像伴侣，倒像令狐冲的另一个自己。 新版电视剧毁得太厉害，为免误导，故有此文。  相识洛阳东城绿竹翁住处。 令狐冲，身受八道真气，自以为命不久...

                         (展开)",4.0,118,2,0.9833,0,飞白,https://www.douban.com/people/y0ukn0w/,2013-02-22 20:06:43,
30,https://book.douban.com/subject/1002299/,https://book.douban.com/review/4580266/,大盈若冲,"道德经有云：大成若缺，其用不弊；大盈若冲，其用不穷。谓天下看似残缺遗恨之事，未尝不是真正的圆满完美布局；近世人眼中虚虚飘渺之情，才真切地表露着实实在在的生活际境。然而大直若诎，大巧若拙，大辩若讷，在人的江湖，又怎能逃脱了这矛盾的大网的罗织。人无法眼，不免惑...

                         (展开)",5.0,110,3,0.9735,0,洗心易,https://www.douban.com/people/heheashui/,2011-01-13 21:29:18,
31,https://book.douban.com/subject/1002299/,https://book.douban.com/review/2220039/,令狐冲究竟爱谁？,"对于岳大小姐，我始终是无爱的。即使费尽心思说服自己她多么可怜，多么可悲，多么卑微小心的爱着她的小林子，就像每一个真爱过的小女子一样，仍然无法平静面对她与林平之将“海枯石烂此情不渝”刻在令狐冲身上的往事。  盈盈就恰恰相反。我打从心眼儿里就待见她。看到令狐冲受...

                         (展开)",5.0,136,27,0.8344,0,人间有味是清欢,https://www.douban.com/people/zoefan/,2009-08-12 16:45:53,
32,https://book.douban.com/subject/1002299/,https://book.douban.com/review/6477864/,五岳剑派崛起发微——从岳肃蔡子峰的名字说开去,"按照冲虚所说：五岳剑派在武林崛起，不过是近六七十年的事。六七十年前，五岳剑派当时的主力应当是蔡子峰、岳肃一辈及更早一辈。此后不久，五岳剑派和日月神教在华山大战两场。两场大战过后，五岳剑派固然损失惨重，但也确立了在正邪斗争为主线的武林格局中的地位。     ...

                         (展开)",4.0,89,16,0.8476,0,萧湘 ：),https://www.douban.com/people/huanwen/,2013-12-25 18:15:09,
33,https://book.douban.com/subject/1002299/,https://book.douban.com/review/2470723/,林平之有没有爱过岳灵珊,"这篇书评可能有关键情节透露

                        林平之是个悲剧人物。他虽可恨，但亦有可怜可敬之处。  故事发展到后来，他已经成为一个泯灭良心，、无耻卑鄙的复仇狂。最不可原谅的竟是杀了岳灵珊！然而我并是十分痛恨这个人物，他发展到这个地步，是江湖的险恶斗争，野心家的利欲熏心的结果。一开始，林平之其实是善良的，...

                         (展开)",5.0,72,4,0.9474,0,柔荑,https://www.douban.com/people/10829925/,2009-10-08 21:19:45,
